ID,COMMAND
6,"move the chair into the blue room and stand next to it"
14,"go stand next to the smallest box"
14,"move into the room with the smallest box and stand there"
9,"move to stand next to the red chair"
14,"go stand by the tiny box"
1,"move to the same room as the chair and stand next to it"
11,"move the chair so that it is just barely in the green room, and then stay on the white square that leads into that room"
2,"robot to green room"
14,"move to room with the tiny box"
5,"move the chair into the maroon area"
20,"find a box and stand next to it"
11,"move to one spot below the chair, no matter what color it is"
3,"move to the room that is blue"
18,"move to small green room"
12,"move next to the blue chair"
8,"stand next to the red chair only"
14,"go into the room with the small box"
18,"go into the small green room"
9,"go next the red chair"
1,"move to the room that contains the chair"
4,"move on to the pink room"
8,"stand to the left of the red chair and look towards me"
16,"go to the large green room"
13,"move the robot into the blue room"
12,"go to blue chair"
22,"move a chair into the blue room"
14,"find the small box and stand next to it"
0,"grab the red chair"
19,"move into the big red room"
19,"move to the largest room in the house"
21,"go to the largest room of the house"
2,"move robot until green room"
6,"move the chair to the blue room and please wait in the doorway"
17,"enter the small red room"
5,"go in front of the chair"
6,"move close to the chair"
8,"move yourself to the square located to the immediate left of the red chair"
16,"stand near the red chair"
5,"push the red chair into the red room"
9,"go stand next to the red chair"
7,"move the robot to be positioned right of the red chair"
8,"move to the left of red chair"
7,"stand on the right side of the red chair"
17,"go to the red small room"
10,"move to the right side of the red colored chair"
1,"please move to the chair and stand next to it"
14,"move next to the small object"
4,"find and enter the pink room"
20,"move to the big box"
1,"move to the same room as the chair and move very close to it"
15,"move to the smaller room"
7,"face north standing next to the red chair"
14,"go to the small box and stand next to it"
21,"move to biggest room"
10,"move to the right side of the red chair and look towards me"
1,"go to the room with the chair"
3,"proceed to the blue room"
6,"take the chair to the blue room"
20,"move by the large box"
1,"go to the side of the chair"
14,"go by the smallest box"
3,"move to the room with a purple floor"
18,"go to the small green room"
11,"get as close as you can to the red chair"
21,"move into the bigger room"
2,"proceed to the green room"
16,"move to big green room"
19,"move to the red hallway"
7,"move to the right of red chair and stand there"
18,"move yourself into the exact center of the smaller green room"
5,"go near the chair"
2,"go from the red room to the green room"
15,"move into the thin room"
18,"move to the green room with the red chair"
14,"stand in front of small box"
4,"please move to the red room"
19,"go to the big red room with the chair"
5,"move the chair to the red room and stand in the doorway"
5,"move the chair to the red room and stand next to it"
19,"move to the big pink room"
4,"change the room you're in"
15,"move to the small rectangle room"
17,"move into small red room"
0,"find the red chair and stand next to it"
5,"be next to the chair"
4,"move to the pink room no matter the location"
4,"please go to the red room"
9,"move to any other side of the red chair"
17,"move to the smaller red room"
4,"move from the current location to the pink room"
21,"go into the room with the chair"
1,"proceed to the blue colored room"
20,"take the shortest path possible so that you are directly touching the larger box"
8,"stand next to the red chair"
14,"go next to the small box"
